,team,coach,year,num_games_coached
6,CLE,Eric Mangini,2010,16
7,DAL,Jason Garrett,2010,8
8,DEN,Josh McDaniels,2010,12
9,DET,Jim Schwartz,2010,16
10,GNB,Mike McCarthy,2010,16
11,HOU,Gary Kubiak,2010,16
12,IND,Jim Caldwell,2010,16
13,JAX,Jack Del Rio,2010,16
14,KAN,Todd Haley,2010,16
15,MIA,Tony Sparano,2010,16
16,MIN,Brad Childress,2010,10
17,NOR,Sean Payton,2010,16
18,NWE,Bill Belichick,2010,16
19,NYG,Tom Coughlin,2010,16
20,NYJ,Rex Ryan,2010,16
21,OAK,Tom Cable,2010,16
22,PHI,Andy Reid,2010,16
23,PIT,Mike Tomlin,2010,16
24,SDG,Norv Turner,2010,16
25,SEA,Pete Carroll,2010,16
26,SFO,Mike Singletary,2010,15
27,STL,Steve Spagnuolo,2010,16
28,TAM,Raheem Morris,2010,16
29,TEN,Jeff Fisher,2010,16
30,WAS,Mike Shanahan,2010,16
0,ATL,Mike Smith,2011,16
1,BAL,John Harbaugh,2011,16
2,BUF,Chan Gailey,2011,16
3,CAR,Ron Rivera,2011,16
4,CHI,Lovie Smith,2011,16
5,CIN,Marvin Lewis,2011,16
6,CLE,Pat Shurmur,2011,16
7,DAL,Jason Garrett,2011,16
8,DEN,John Fox,2011,16
9,DET,Jim Schwartz,2011,16
10,GNB,Mike McCarthy,2011,16
11,HOU,Gary Kubiak,2011,16
12,IND,Jim Caldwell,2011,16
13,JAX,Jack Del Rio,2011,11
14,KAN,Todd Haley,2011,13
15,MIA,Tony Sparano,2011,13
16,MIN,Leslie Frazier,2011,16
17,NOR,Sean Payton,2011,16
18,NWE,Bill Belichick,2011,16
19,NYG,Tom Coughlin,2011,16
20,NYJ,Rex Ryan,2011,16
21,OAK,Hue Jackson,2011,16
22,PHI,Andy Reid,2011,16
23,PIT,Mike Tomlin,2011,16
24,SDG,Norv Turner,2011,16
25,SEA,Pete Carroll,2011,16
26,SFO,Jim Harbaugh,2011,16
27,STL,Steve Spagnuolo,2011,16
28,TAM,Raheem Morris,2011,16
29,TEN,Mike Munchak,2011,16
30,WAS,Mike Shanahan,2011,16
0,ATL,Mike Smith,2012,16
1,BAL,John Harbaugh,2012,16
2,BUF,Chan Gailey,2012,16
3,CAR,Ron Rivera,2012,16
4,CHI,Lovie Smith,2012,16
5,CIN,Marvin Lewis,2012,16
6,CLE,Pat Shurmur,2012,16
7,DAL,Jason Garrett,2012,16
8,DEN,John Fox,2012,16
9,DET,Jim Schwartz,2012,16
10,GNB,Mike McCarthy,2012,16
11,HOU,Gary Kubiak,2012,16
12,IND,Chuck Pagano,2012,16
13,JAX,Mike Mularkey,2012,16
14,KAN,Romeo Crennel,2012,16
15,MIA,Joe Philbin,2012,16
16,MIN,Leslie Frazier,2012,16
17,NOR,Joe Vitt,2012,10
18,NWE,Bill Belichick,2012,16
19,NYG,Tom Coughlin,2012,16
20,NYJ,Rex Ryan,2012,16
21,OAK,Dennis Allen,2012,16
